Date,Symbol,Close Price,Avg Entry Price,Quantity,PnL
2025-01-20,NAVA.NS,436.75,495.13,10,-583.8
2025-01-20,NITINSPIN.NS,412.75,433.95,11,-233.2
2025-01-20,RANEHOLDIN.NS,1593.5,1748.91,3,-466.23
2025-01-20,RPPINFRA.NS,182.82,194.0,25,-279.5
2025-01-20,SRHHYPOLTD.NS,702.5,778.5,6,-456.0
2025-01-20,SUKHJITS.NS,254.1,264.75,18,-191.7
2025-01-20,TGVSL.BO,107.5,104.5,47,141.0
2025-01-20,VLSFINANCE.NS,311.55,334.58,14,-322.42
2025-01-20,WELCORP.NS,798.45,802.8,6,-26.1
2025-01-21,CEATLTD.NS,2960.05,3208.42,2,-496.74
2025-01-21,EIDPARRY.NS,827.05,868.5,5,-207.25
2025-01-21,EMPIND.BO,1124.1,1275.0,4,-603.6
2025-01-21,GHCL.NS,724.05,709.16,7,104.23
2025-01-21,GICRE.NS,434.85,443.4,10,-85.5
2025-01-21,GSPL.NS,363.0,353.49,13,123.63
2025-01-21,HIMATSEIDE.NS,176.54,185.88,26,-242.84
2025-01-21,HINDPETRO.NS,369.95,408.25,12,-459.6
2025-01-21,INDIAGLYCO.NS,1353.0,1254.65,4,393.4
2025-01-21,KOTHARIPET.NS,178.83,187.95,25,-228.0
2025-01-21,KOTHARIPRO.NS,89.15,99.13,48,-479.04
2025-01-21,MANGCHEFER.NS,176.62,154.36,31,690.06
2025-01-21,MAZDA.NS,364.64,298.61,15,990.45
2025-01-21,MONTECARLO.NS,668.25,810.82,6,-855.42
2025-01-21,NATIONALUM.NS,201.63,210.67,23,-207.92
2025-01-21,NAVA.NS,425.9,495.13,10,-692.3
2025-01-21,NITINSPIN.NS,408.8,433.95,11,-276.65
2025-01-21,RANEHOLDIN.NS,1552.35,1748.91,3,-589.68
2025-01-21,RPPINFRA.NS,183.84,194.0,25,-254.0
2025-01-21,SRHHYPOLTD.NS,677.05,778.5,6,-608.7
2025-01-21,SUKHJITS.NS,253.4,264.75,18,-204.3
2025-01-21,TGVSL.BO,105.2,104.5,47,32.9
2025-01-21,VLSFINANCE.NS,304.9,334.58,14,-415.52
2025-01-21,WELCORP.NS,792.65,802.8,6,-60.9
2025-01-22,CEATLTD.NS,2853.35,3208.42,2,-710.14
2025-01-22,EIDPARRY.NS,819.55,868.5,5,-244.75
2025-01-22,EMPIND.BO,1105.8,1275.0,4,-676.8
2025-01-22,GHCL.NS,716.7,709.16,7,52.78
2025-01-22,GICRE.NS,423.1,443.4,10,-203.0
2025-01-22,GSPL.NS,359.95,353.49,13,83.98
2025-01-22,HIMATSEIDE.NS,169.95,185.88,26,-414.18
2025-01-22,HINDPETRO.NS,370.1,408.25,12,-457.8
2025-01-22,INDIAGLYCO.NS,1320.4,1254.65,4,263.0
2025-01-22,KOTHARIPET.NS,176.78,187.95,25,-279.25
2025-01-22,KOTHARIPRO.NS,87.22,99.13,48,-571.68
2025-01-22,MANGCHEFER.NS,177.26,154.36,31,709.9
2025-01-22,MAZDA.NS,356.0,298.61,15,860.85
2025-01-22,MONTECARLO.NS,661.5,810.82,6,-895.92
2025-01-22,NATIONALUM.NS,199.19,210.67,23,-264.04
2025-01-22,NAVA.NS,422.45,495.13,10,-726.8
2025-01-22,NITINSPIN.NS,397.9,433.95,11,-396.55
2025-01-22,RANEHOLDIN.NS,1535.1,1748.91,3,-641.43
2025-01-22,RPPINFRA.NS,177.62,194.0,25,-409.5
2025-01-22,SRHHYPOLTD.NS,663.6,778.5,6,-689.4
2025-01-22,SUKHJITS.NS,247.2,264.75,18,-315.9
2025-01-22,TGVSL.BO,104.2,104.5,47,-14.1
2025-01-22,VLSFINANCE.NS,303.25,334.58,14,-438.62
2025-01-22,WELCORP.NS,779.75,802.8,6,-138.3
2025-01-23,CEATLTD.NS,2971.7,3208.42,2,-473.44
2025-01-23,EIDPARRY.NS,842.1,868.5,5,-132.0
2025-01-23,EMPIND.BO,1118.05,1275.0,4,-627.8
2025-01-23,GHCL.NS,725.65,709.16,7,115.43
2025-01-23,GICRE.NS,439.45,443.4,10,-39.5
2025-01-23,GSPL.NS,359.2,353.49,13,74.23
2025-01-23,HIMATSEIDE.NS,172.32,185.88,26,-352.56
2025-01-23,HINDPETRO.NS,362.1,408.25,12,-553.8
2025-01-23,INDIAGLYCO.NS,1312.5,1254.65,4,231.4
2025-01-23,KOTHARIPET.NS,179.46,187.95,25,-212.25
2025-01-23,KOTHARIPRO.NS,86.51,99.13,48,-605.76
2025-01-23,MANGCHEFER.NS,175.23,154.36,31,646.97
2025-01-23,MAZDA.NS,356.78,298.61,15,872.55
2025-01-23,MONTECARLO.NS,664.05,810.82,6,-880.62
2025-01-23,NATIONALUM.NS,201.5,210.67,23,-210.91
